"","flour_name","type","calorie","carbs","fiber","fat","protein"
"1","Almond Flour","legume/nut/insect",590,18.7,9.9,52.5,21.4
"2","Amaranth Flour","whole grain",400,71.4,11.4,5.7,14.3
"3","Arrowroot Flour","root/tuber",357,88.2,3.4,0.1,0.3
"4","Barley Flour","whole grain",345,74.5,10.1,1.6,10.5
"5","Bread Flour","refined grain",361,72.5,2.4,1.7,12
"6","Brown Rice Flour","whole grain",363,76.5,4.6,2.8,7.2
"7","Buckwheat Flour","whole grain",335,70.6,10,3.1,12.6
"8","Cassava Flour","root/tuber",375,87.5,3.1,0,3.1
"9","Chestnut Flour","legume/nut/insect",371,78,9,3,6
"10","Chickpea Flour","legume/nut/insect",387,57.8,10.8,6.7,22.4
"11","Coconut Flour","legume/nut/insect",400,60,33.3,13.3,20
"12","Corn Flour","whole grain",361,76.8,7.3,3.9,6.9
"13","Cricket Flour","legume/nut/insect",417,8.3,8.3,16.7,66.7
"14","High-Gluten Flour","refined grain",333,70,3.3,0,13.3
"15","Kamut Flour","whole grain",337,70.6,11.1,2.1,14.5
"16","Lupin Flour","legume/nut/insect",247,40,36.7,6.7,40
"17","Millet Flour","whole grain",382,75.1,3.5,4.3,10.8
"18","Oat Flour","whole grain",404,65.7,6.5,9.1,14.7
"19","Peanut Flour","legume/nut/insect",327,31.3,15.8,21.9,33.8
"20","Potato Flour","root/tuber",357,83.1,5.9,0.34,6.9
"21","Quinoa Flour","whole grain",393,64.3,7.1,7.1,14.3
"22","Red Lentil Flour","legume/nut/insect",337,57.6,7.6,1.7,26
"23","Rye Flour","whole grain",349,75.4,11.8,1.5,10.9
"24","Self-raising Flour","refined grain",353,83.6,4,1.5,8.9
"25","Semolina Flour","refined grain",357,73.8,4.8,1.2,11.9
"26","Sorghum Flour","whole grain",359,76.6,6.6,3.3,8.4
"27","Soy Flour","legume/nut/insect",439,30.4,9.7,21.9,38.1
"28","Spelt Flour","whole grain",367,73.3,13.3,1.7,16.7
"29","Sunflower Seed Flour","legume/nut/insect",326,35.8,5.2,1.7,48.1
"30","Tapioca Flour","root/tuber",333,86.7,0,0,0
"31","Teff Flour","whole grain",371,77.1,5.7,2.9,11.4
"32","Wheat Flour (All-Purpose Flour)","refined grain",364,76.3,2.7,1,10.3
"33","White Rice Flour","refined grain",366,80.1,2.4,1.4,6
"34","Whole Wheat Flour","whole grain",332,74.5,13.1,2,9.6
